# wavelength_um flux err
2.291276931762695312e+00 nan nan
2.291296720504760742e+00 nan nan
2.291316509246826172e+00 nan nan
2.291336297988891602e+00 nan nan
2.291356086730957031e+00 nan nan
2.291375875473022461e+00 nan nan
2.291395664215087891e+00 nan nan
2.291415452957153320e+00 nan nan
2.291435241699218750e+00 nan nan
2.291455030441284180e+00 nan nan
2.291474819183349609e+00 nan nan
2.291494607925415039e+00 nan nan
2.291514396667480469e+00 nan nan
2.291534185409545898e+00 nan nan
2.291553974151611328e+00 nan nan
2.291573762893676758e+00 nan nan
2.291593551635742188e+00 nan nan
2.291613340377807617e+00 nan nan
2.291633129119873047e+00 nan nan
2.291652917861938477e+00 nan nan
2.291672706604003906e+00 nan nan
2.291692495346069336e+00 1.323147296905517578e+00 4.148155450820922852e-02
2.291712284088134766e+00 1.339476346969604492e+00 4.600782319903373718e-02
2.291732072830200195e+00 1.430352687835693359e+00 3.608549013733863831e-02
2.291751861572265625e+00 1.227857589721679688e+00 4.463066160678863525e-02
2.291771650314331055e+00 1.230457544326782227e+00 4.709543287754058838e-02
2.291791439056396484e+00 1.264638781547546387e+00 4.658302292227745056e-02
2.291811227798461914e+00 1.233480334281921387e+00 6.146913766860961914e-02
2.291831016540527344e+00 1.140983819961547852e+00 5.366560071706771851e-02
2.291850805282592773e+00 1.193619728088378906e+00 3.898676857352256775e-02
2.291870355606079102e+00 1.401499867439270020e+00 3.858642280101776123e-02
2.291890144348144531e+00 1.335592031478881836e+00 3.552009165287017822e-02
2.291909933090209961e+00 1.242947459220886230e+00 3.465169668197631836e-02
2.291929721832275391e+00 9.379847645759582520e-01 3.738946095108985901e-02
2.291949510574340820e+00 1.056740880012512207e+00 2.754905074834823608e-02
2.291969299316406250e+00 1.241597294807434082e+00 4.416776448488235474e-02
2.291989088058471680e+00 1.437329649925231934e+00 4.168481752276420593e-02
2.292008876800537109e+00 1.373115897178649902e+00 4.148943722248077393e-02
2.292028665542602539e+00 1.382175683975219727e+00 3.286917507648468018e-02
2.292048454284667969e+00 1.323461771011352539e+00 3.625569492578506470e-02
2.292068004608154297e+00 1.158893346786499023e+00 3.879114240407943726e-02
2.292087793350219727e+00 1.296256422996520996e+00 3.365519270300865173e-02
2.292107582092285156e+00 1.334441900253295898e+00 2.686146274209022522e-02
2.292127370834350586e+00 1.413088321685791016e+00 3.803452849388122559e-02
2.292147159576416016e+00 1.348498344421386719e+00 2.896750532090663910e-02
2.292166948318481445e+00 1.140084624290466309e+00 4.685752838850021362e-02
2.292186737060546875e+00 1.019417405128479004e+00 4.069960862398147583e-02
2.292206525802612305e+00 1.059858083724975586e+00 3.583889827132225037e-02
2.292226076126098633e+00 1.213947892189025879e+00 3.856834396719932556e-02
2.292245864868164062e+00 1.369195103645324707e+00 3.919961676001548767e-02
2.292265653610229492e+00 1.305696725845336914e+00 3.320788964629173279e-02
2.292285442352294922e+00 1.302560567855834961e+00 3.629312291741371155e-02
2.292304992675781250e+00 1.380363106727600098e+00 3.364376351237297058e-02
2.292324781417846680e+00 1.303080797195434570e+00 5.063844844698905945e-02
2.292344570159912109e+00 1.289936900138854980e+00 2.784874103963375092e-02
2.292364358901977539e+00 1.475664496421813965e+00 3.747608885169029236e-02
2.292384147644042969e+00 1.375114917755126953e+00 4.165911674499511719e-02
2.292403936386108398e+00 1.368445873260498047e+00 3.001295216381549835e-02
2.292423725128173828e+00 1.206896424293518066e+00 3.758633881807327271e-02
2.292443275451660156e+00 1.155641198158264160e+00 4.426434263586997986e-02
2.292463064193725586e+00 1.165575742721557617e+00 4.677059128880500793e-02
2.292482852935791016e+00 1.252206087112426758e+00 5.456016212701797485e-02
2.292502641677856445e+00 1.376864910125732422e+00 4.016254097223281860e-02
2.292522430419921875e+00 1.294569611549377441e+00 4.263155534863471985e-02
2.292542219161987305e+00 1.328383803367614746e+00 3.906492888927459717e-02
2.292561769485473633e+00 1.273462176322937012e+00 4.238180816173553467e-02
2.292581319808959961e+00 1.149786233901977539e+00 2.557001821696758270e-02
2.292601108551025391e+00 8.873577713966369629e-01 4.753210768103599548e-02
2.292620897293090820e+00 9.874842166900634766e-01 7.218921184539794922e-02
2.292640686035156250e+00 1.150771260261535645e+00 3.923384472727775574e-02
2.292660474777221680e+00 1.101451992988586426e+00 5.161183327436447144e-02
2.292680025100708008e+00 1.007153034210205078e+00 3.306345641613006592e-02
2.292699813842773438e+00 9.398122429847717285e-01 3.929758071899414062e-02
2.292719602584838867e+00 9.408376812934875488e-01 4.712017625570297241e-02
2.292739391326904297e+00 1.137907743453979492e+00 3.288747742772102356e-02
2.292759180068969727e+00 1.385092020034790039e+00 3.701107576489448547e-02
2.292778730392456055e+00 1.461581349372863770e+00 4.423583298921585083e-02
2.292798519134521484e+00 1.503949880599975586e+00 4.211535677313804626e-02
2.292818307876586914e+00 1.426091074943542480e+00 2.694199793040752411e-02
2.292838096618652344e+00 1.318052053451538086e+00 2.821548469364643097e-02
2.292857646942138672e+00 1.182780742645263672e+00 3.965319320559501648e-02
2.292877197265625000e+00 1.286209106445312500e+00 3.066754341125488281e-02
2.292896986007690430e+00 1.476090550422668457e+00 4.579120129346847534e-02
2.292916774749755859e+00 1.465044736862182617e+00 3.812351077795028687e-02
2.292936325073242188e+00 1.445795655250549316e+00 4.368728026747703552e-02
2.292956113815307617e+00 1.508111119270324707e+00 4.270548373460769653e-02
2.292975902557373047e+00 1.325287699699401855e+00 5.015303567051887512e-02
2.292995691299438477e+00 1.297130465507507324e+00 3.471262380480766296e-02
2.293015241622924805e+00 1.315738677978515625e+00 3.950611501932144165e-02
2.293035030364990234e+00 1.398497700691223145e+00 2.708906307816505432e-02
2.293054819107055664e+00 1.333897709846496582e+00 3.569555282592773438e-02
2.293074607849121094e+00 1.108286142349243164e+00 2.768344432115554810e-02
2.293094158172607422e+00 7.607552409172058105e-01 4.336565360426902771e-02
2.293113946914672852e+00 4.390095174312591553e-01 3.611081838607788086e-02
2.293133735656738281e+00 3.941465318202972412e-01 4.917331784963607788e-02
2.293153285980224609e+00 4.648767113685607910e-01 3.698828071355819702e-02
2.293173074722290039e+00 5.557861328125000000e-01 3.931641578674316406e-02
2.293192625045776367e+00 8.154721260070800781e-01 3.914346918463706970e-02
2.293212175369262695e+00 7.012687325477600098e-01 3.785799816250801086e-02
2.293231964111328125e+00 6.596356630325317383e-01 4.257766157388687134e-02
2.293251752853393555e+00 5.703280568122863770e-01 4.141945019364356995e-02
2.293271541595458984e+00 6.706008911132812500e-01 3.652934730052947998e-02
2.293291091918945312e+00 9.399307370185852051e-01 2.624991349875926971e-02
2.293310880661010742e+00 1.011384606361389160e+00 3.638167679309844971e-02
2.293330430984497070e+00 9.251408576965332031e-01 4.829336330294609070e-02
2.293350219726562500e+00 8.101281523704528809e-01 3.980540856719017029e-02
2.293370008468627930e+00 6.004538536071777344e-01 4.104782268404960632e-02
2.293389558792114258e+00 5.534405708312988281e-01 3.943901136517524719e-02
2.293409347534179688e+00 7.896285057067871094e-01 4.458632320165634155e-02
2.293429136276245117e+00 1.065439224243164062e+00 3.335916623473167419e-02
2.293448686599731445e+00 1.112476468086242676e+00 3.334990888833999634e-02
2.293468475341796875e+00 1.051270246505737305e+00 4.475143924355506897e-02
2.293488264083862305e+00 9.150294661521911621e-01 2.600772865116596222e-02
2.293507575988769531e+00 6.167764663696289062e-01 3.856680542230606079e-02
2.293527364730834961e+00 5.709654688835144043e-01 4.566555842757225037e-02
2.293546915054321289e+00 6.847281455993652344e-01 4.542571678757667542e-02
2.293566703796386719e+00 7.874871492385864258e-01 4.145787656307220459e-02
2.293586492538452148e+00 1.049798607826232910e+00 3.447241336107254028e-02
2.293606042861938477e+00 1.323873758316040039e+00 3.272885084152221680e-02
2.293625831604003906e+00 1.340029835700988770e+00 2.923084422945976257e-02
2.293645381927490234e+00 1.221284151077270508e+00 3.572360798716545105e-02
2.293665170669555664e+00 9.007379412651062012e-01 3.526281565427780151e-02
2.293684959411621094e+00 7.307610511779785156e-01 3.052637912333011627e-02
2.293704509735107422e+00 8.272150754928588867e-01 2.625919505953788757e-02
2.293724298477172852e+00 8.687067627906799316e-01 3.862637653946876526e-02
2.293743848800659180e+00 7.855401039123535156e-01 2.819611504673957825e-02
2.293763637542724609e+00 6.163310408592224121e-01 3.408514335751533508e-02
2.293782949447631836e+00 7.115367054939270020e-01 4.371726885437965393e-02
2.293802738189697266e+00 9.187753796577453613e-01 4.751897603273391724e-02
2.293822526931762695e+00 1.045496582984924316e+00 2.841391786932945251e-02
2.293842077255249023e+00 1.165822505950927734e+00 4.204710945487022400e-02
2.293861865997314453e+00 1.252025723457336426e+00 4.368986189365386963e-02
2.293881416320800781e+00 1.402973890304565430e+00 4.962969943881034851e-02
2.293901205062866211e+00 1.200239658355712891e+00 4.293154925107955933e-02
2.293920755386352539e+00 1.062659859657287598e+00 4.127977788448333740e-02
2.293940544128417969e+00 8.508182764053344727e-01 4.312268644571304321e-02
2.293960094451904297e+00 8.332387804985046387e-01 4.140190407633781433e-02
2.293979883193969727e+00 8.191546797752380371e-01 4.178541153669357300e-02
2.293999433517456055e+00 7.411791086196899414e-01 2.904348820447921753e-02
2.294019222259521484e+00 7.537913322448730469e-01 4.170285910367965698e-02
2.294038772583007812e+00 8.999875187873840332e-01 4.422213509678840637e-02
2.294058561325073242e+00 9.685493707656860352e-01 7.414259016513824463e-02
2.294077873229980469e+00 8.845383524894714355e-01 3.402303159236907959e-02
2.294097661972045898e+00 1.149933457374572754e+00 3.369734808802604675e-02
2.294117212295532227e+00 1.426899909973144531e+00 3.806653991341590881e-02
2.294137001037597656e+00 1.487660765647888184e+00 3.707673400640487671e-02
2.294156551361083984e+00 1.394645810127258301e+00 4.792726039886474609e-02
2.294176340103149414e+00 1.266945838928222656e+00 4.579731076955795288e-02
2.294195890426635742e+00 9.696206450462341309e-01 3.770743310451507568e-02
2.294215679168701172e+00 6.957349181175231934e-01 3.464957326650619507e-02
2.294235229492187500e+00 7.158368825912475586e-01 3.919762000441551208e-02
2.294255018234252930e+00 1.004195809364318848e+00 3.779701888561248779e-02
2.294274568557739258e+00 8.568164706230163574e-01 3.048179484903812408e-02
2.294294118881225586e+00 7.527176141738891602e-01 3.043760359287261963e-02
2.294313907623291016e+00 8.502573966979980469e-01 3.518178313970565796e-02
2.294333457946777344e+00 9.504579305648803711e-01 3.666847199201583862e-02
2.294353246688842773e+00 1.113477230072021484e+00 4.519283771514892578e-02
2.294372558593750000e+00 1.125686764717102051e+00 4.808830469846725464e-02
2.294392347335815430e+00 1.314297795295715332e+00 4.013717547059059143e-02
2.294411897659301758e+00 1.340212345123291016e+00 3.502542898058891296e-02
2.294431447982788086e+00 1.359166026115417480e+00 3.668139129877090454e-02
2.294451236724853516e+00 1.471395373344421387e+00 4.115702584385871887e-02
